Time (s),Current (A)
293.72,0.0002904977
294.88,0.0002906931
296.03,0.0002908487
297.17,0.000290797
298.33,0.0002908138
299.53,0.0002908188
300.66,0.0002907394
301.81,0.0002905926
302.95,0.0002904853
304.1,0.0002904405
305.25,0.0002903575
306.4,0.0002903615
307.55,0.0002903853
308.69,0.0002903641
309.84,0.0002904356
310.97,0.0002903966
312.12,0.0002905012
313.28,0.0002906919
314.42,0.000290771
315.56,0.0002909653
316.7,0.0002911523
317.85,0.0002914047
318.99,0.0002917354
320.13,0.0002920622
321.27,0.0002923701
322.41,0.0002928074
323.56,0.0002932014
324.69,0.0002936856
325.83,0.0002939544
326.98,0.0002942963
328.12,0.0002946252
329.27,0.0002948073
330.42,0.0002949467
331.56,0.0002950027
332.71,0.0002951022
333.85,0.0002950811
334.98,0.0002950615
336.13,0.0002949649
337.33,0.0002948543
338.47,0.0002946696
339.62,0.0002943998
340.76,0.0002940844
341.91,0.0002938939
343.06,0.0002936579
344.2,0.0002933382
345.34,0.0002931439
346.49,0.0002928066
347.63,0.0002926096
348.79,0.0002923677
349.93,0.0002921325
351.07,0.0002918637
352.22,0.0002917309
353.36,0.0002916594
354.5,0.0002914801
355.64,0.0002914465
356.79,0.0002915089
357.92,0.0002916709
359.07,0.000291844
360.21,0.0002921955
361.35,0.0002924808
362.48,0.0002929185
363.62,0.0002933087
364.76,0.000293479
365.91,0.0002936566
367.06,0.0002938766
368.2,0.0002939746
369.35,0.0002940734
370.49,0.0002940522
371.62,0.0002940216
372.78,0.0002938931
373.92,0.0002939447
375.07,0.0002937189
376.22,0.0002936033
377.37,0.0002934533
378.53,0.0002933523
379.68,0.0002932445
380.83,0.0002930521
381.98,0.0002929529
383.13,0.0002927595
384.28,0.0002926315
385.42,0.0002923901
386.57,0.0002921493
387.71,0.0002920588
388.84,0.0002919153
389.99,0.0002918107
391.14,0.0002916714
392.29,0.0002916658
393.44,0.0002913717
394.58,0.0002912095
395.72,0.0002915967
396.86,0.0002918849
398.0,0.0002921545
399.14,0.0002924572
400.29,0.0002925986
401.43,0.0002927914
402.57,0.0002929828
403.72,0.0002929813
404.86,0.0002929347
406.0,0.0002928247
407.14,0.0002926481
408.28,0.000292343
409.42,0.0002921828
410.57,0.0002920334
411.71,0.0002918184
412.85,0.0002915806
413.99,0.0002914348
415.14,0.0002913079
416.29,0.0002912616
417.42,0.0002910642
418.56,0.0002909579
419.7,0.0002909721
420.85,0.0002909629
421.99,0.000290933
423.13,0.0002908019
424.28,0.0002907983
425.43,0.0002908684
426.57,0.0002909849
427.7,0.0002911732
