File............: cv_6_10cycles - JUL,02.2025
System..........: 
Temperature.....: -0.1+-0.0C
Time............: 12:18:52-12:22:08
Slewrate........: 50mV/s
Comment.........: 
                   
                   
                   
                   
Electr.area/sqcm: 
Reference.......: -0.0800244,  0.3194589 PO/PF -2,-2004
Lines:   816
Columns: 3
Number     Time/s     Potential/V    Current/A 
1         0.000e+00     -0.680008   -9.8152e-06
2         1.200e-01     -0.680008   -9.5176e-06
3         3.600e-01     -0.680008   -9.1832e-06
4         6.000e-01     -0.680008   -8.9180e-06
5         8.400e-01     -0.680008   -8.6285e-06
6         1.080e+00     -0.680008   -8.4080e-06
7         1.320e+00     -0.680008   -8.2378e-06
8         1.560e+00     -0.680008   -8.0254e-06
9         1.800e+00     -0.677333   -2.7574e-06
10        2.040e+00     -0.665952    2.8836e-06
11        2.280e+00     -0.653932    3.9586e-06
12        2.520e+00     -0.641953    4.7589e-06
13        2.760e+00     -0.629933    5.4879e-06
14        3.000e+00     -0.617953    6.1597e-06
15        3.240e+00     -0.605934    6.8249e-06
16        3.480e+00     -0.593954    7.4445e-06
17        3.720e+00     -0.581934    8.1050e-06
18        3.960e+00     -0.569955    8.6935e-06
19        4.200e+00     -0.557935    9.3519e-06
20        4.440e+00     -0.545955    1.0029e-05
21        4.680e+00     -0.533936    1.0685e-05
22        4.920e+00     -0.521916    1.1228e-05
23        5.160e+00     -0.509896    1.1801e-05
24        5.400e+00     -0.497917    1.2416e-05
25        5.640e+00     -0.485897    1.2990e-05
26        5.880e+00     -0.473917    1.3648e-05
27        6.120e+00     -0.461898    1.4256e-05
28        6.360e+00     -0.449918    1.4831e-05
29        6.600e+00     -0.437898    1.5501e-05
30        6.840e+00     -0.425919    1.6092e-05
31        7.080e+00     -0.413899    1.6733e-05
32        7.320e+00     -0.401879    1.7262e-05
33        7.560e+00     -0.389900    1.7840e-05
34        7.800e+00     -0.377880    1.8321e-05
35        8.040e+00     -0.365860    1.8957e-05
36        8.280e+00     -0.353881    1.9473e-05
37        8.520e+00     -0.341861    2.0090e-05
38        8.760e+00     -0.329881    2.0592e-05
39        9.000e+00     -0.317862    2.1097e-05
40        9.240e+00     -0.305882    2.1679e-05
41        9.480e+00     -0.293862    2.2207e-05
42        9.720e+00     -0.281882    2.2714e-05
43        9.960e+00     -0.269863    2.3132e-05
44        1.020e+01     -0.257843    2.3548e-05
45        1.044e+01     -0.245864    2.3876e-05
46        1.068e+01     -0.233844    2.4205e-05
47        1.092e+01     -0.221824    2.4493e-05
48        1.116e+01     -0.209845    2.4613e-05
49        1.140e+01     -0.197825    2.4775e-05
50        1.164e+01     -0.185845    2.4988e-05
51        1.188e+01     -0.173826    2.5036e-05
52        1.212e+01     -0.161846    2.5199e-05
53        1.236e+01     -0.149826    2.5383e-05
54        1.260e+01     -0.137846    2.5720e-05
55        1.284e+01     -0.125827    2.6151e-05
56        1.308e+01     -0.113807    2.6623e-05
57        1.332e+01     -0.101788    2.7194e-05
58        1.356e+01     -0.089808    2.7679e-05
59        1.380e+01     -0.077788    2.8209e-05
60        1.404e+01     -0.065808    2.8704e-05
61        1.428e+01     -0.053789    2.9095e-05
62        1.452e+01     -0.041809    2.9328e-05
63        1.476e+01     -0.029789    2.9464e-05
64        1.500e+01     -0.017810    2.9476e-05
65        1.524e+01     -0.005790    2.9350e-05
66        1.548e+01      0.006190    2.8939e-05
67        1.572e+01      0.018209    2.8616e-05
68        1.596e+01      0.030229    2.8351e-05
69        1.620e+01      0.042209    2.7956e-05
70        1.644e+01      0.054228    2.7643e-05
71        1.668e+01      0.066248    2.7325e-05
72        1.692e+01      0.078228    2.7028e-05
73        1.716e+01      0.090247    2.6789e-05
74        1.740e+01      0.102227    2.6608e-05
75        1.764e+01      0.114247    2.6432e-05
76        1.788e+01      0.126226    2.6358e-05
77        1.812e+01      0.138246    2.6378e-05
78        1.836e+01      0.150226    2.6331e-05
79        1.860e+01      0.162245    2.6381e-05
80        1.884e+01      0.174265    2.6287e-05
81        1.908e+01      0.186285    2.6355e-05
82        1.932e+01      0.198264    2.6401e-05
83        1.956e+01      0.210284    2.6482e-05
84        1.980e+01      0.222264    2.6570e-05
85        2.004e+01      0.234283    2.6601e-05
86        2.028e+01      0.246263    2.6592e-05
87        2.052e+01      0.258283    2.6710e-05
88        2.076e+01      0.270262    2.6808e-05
89        2.100e+01      0.282282    2.6976e-05
90        2.124e+01      0.294262    2.7136e-05
91        2.148e+01      0.306281    2.7413e-05
92        2.172e+01      0.318301    2.7645e-05
93        2.196e+01      0.330321    2.7859e-05
94        2.220e+01      0.342300    2.8207e-05
95        2.244e+01      0.354320    2.8578e-05
96        2.268e+01      0.366300    2.8941e-05
97        2.292e+01      0.378319    2.9314e-05
98        2.316e+01      0.390299    2.9772e-05
99        2.340e+01      0.402319    3.0336e-05
100       2.364e+01      0.414298    3.0883e-05
101       2.388e+01      0.426318    3.1531e-05
102       2.412e+01      0.438338    3.2221e-05
103       2.436e+01      0.450317    3.2935e-05
104       2.460e+01      0.462337    3.3814e-05
105       2.484e+01      0.474357    3.4763e-05
106       2.508e+01      0.486336    3.5841e-05
107       2.532e+01      0.498356    3.7017e-05
108       2.556e+01      0.510336    3.8412e-05
109       2.580e+01      0.517004    3.2000e-05
110       2.604e+01      0.506302    2.0932e-05
111       2.628e+01      0.494283    1.6533e-05
112       2.652e+01      0.482263    1.3744e-05
113       2.676e+01      0.470283    1.1611e-05
114       2.700e+01      0.458264    9.9624e-06
115       2.724e+01      0.446244    8.5801e-06
116       2.748e+01      0.434264    7.3594e-06
117       2.772e+01      0.422245    6.3532e-06
118       2.796e+01      0.410265    5.3985e-06
119       2.820e+01      0.398246    4.4641e-06
120       2.844e+01      0.386266    3.7196e-06
121       2.868e+01      0.374246    2.8795e-06
122       2.892e+01      0.362266    2.2111e-06
123       2.916e+01      0.350247    1.4970e-06
124       2.940e+01      0.338227    7.9783e-07
125       2.964e+01      0.326208    2.0157e-07
126       2.988e+01      0.314228   -4.7393e-07
127       3.012e+01      0.302208   -1.0518e-06
128       3.036e+01      0.290228   -1.6039e-06
129       3.060e+01      0.278209   -2.1810e-06
130       3.084e+01      0.266229   -2.8186e-06
131       3.108e+01      0.254209   -3.4661e-06
132       3.132e+01      0.242230   -4.0227e-06
133       3.156e+01      0.230210   -4.5319e-06
134       3.180e+01      0.218230   -5.1712e-06
135       3.204e+01      0.206211   -5.8180e-06
136       3.228e+01      0.194191   -6.3903e-06
137       3.252e+01      0.182171   -7.0860e-06
138       3.276e+01      0.170192   -7.6779e-06
139       3.300e+01      0.158172   -8.3130e-06
140       3.324e+01      0.146192   -9.0587e-06
141       3.348e+01      0.134173   -9.7375e-06
142       3.372e+01      0.122193   -1.0490e-05
143       3.396e+01      0.110173   -1.1260e-05
144       3.420e+01      0.098194   -1.1988e-05
145       3.444e+01      0.086174   -1.2885e-05
146       3.468e+01      0.074194   -1.3707e-05
147       3.492e+01      0.062175   -1.4716e-05
148       3.516e+01      0.050155   -1.5719e-05
149       3.540e+01      0.038135   -1.6793e-05
150       3.564e+01      0.026156   -1.7861e-05
151       3.588e+01      0.014136   -1.9079e-05
152       3.612e+01      0.002156   -2.0261e-05
153       3.636e+01     -0.009863   -2.1402e-05
154       3.660e+01     -0.021843   -2.2714e-05
155       3.684e+01     -0.033863   -2.3921e-05
156       3.708e+01     -0.045842   -2.5132e-05
157       3.732e+01     -0.057862   -2.6245e-05
158       3.756e+01     -0.069882   -2.7323e-05
159       3.780e+01     -0.081861   -2.8294e-05
160       3.804e+01     -0.093881   -2.9139e-05
161       3.828e+01     -0.105901   -2.9947e-05
162       3.852e+01     -0.117880   -3.0576e-05
163       3.876e+01     -0.129900   -3.1075e-05
164       3.900e+01     -0.141880   -3.1467e-05
165       3.924e+01     -0.153899   -3.1797e-05
166       3.948e+01     -0.165879   -3.1986e-05
167       3.972e+01     -0.177899   -3.2112e-05
168       3.996e+01     -0.189878   -3.2249e-05
169       4.020e+01     -0.201898   -3.2346e-05
170       4.044e+01     -0.213918   -3.2444e-05
171       4.068e+01     -0.225897   -3.2456e-05
172       4.092e+01     -0.237917   -3.2524e-05
173       4.116e+01     -0.249937   -3.2458e-05
174       4.140e+01     -0.261916   -3.2417e-05
175       4.164e+01     -0.273936   -3.2261e-05
176       4.188e+01     -0.285916   -3.2078e-05
177       4.212e+01     -0.297935   -3.1843e-05
178       4.236e+01     -0.309915   -3.1679e-05
179       4.260e+01     -0.321935   -3.1438e-05
180       4.284e+01     -0.333914   -3.1187e-05
181       4.308e+01     -0.345934   -3.1084e-05
182       4.332e+01     -0.357954   -3.0884e-05
183       4.356e+01     -0.369973   -3.0719e-05
184       4.380e+01     -0.381953   -3.0614e-05
185       4.404e+01     -0.393973   -3.0517e-05
186       4.428e+01     -0.405952   -3.0357e-05
187       4.452e+01     -0.417972   -3.0181e-05
188       4.476e+01     -0.429952   -3.0008e-05
189       4.500e+01     -0.441971   -2.9846e-05
