File............: cv_6_4cycles - JUL,08.2025
System..........: 
Temperature.....: -0.1+-0.0C
Time............: 14:14:48-13:55:54
Slewrate........: 50mV/s
Comment.........: 
                   
                   
                   
                   
Electr.area/sqcm: 
Reference.......: -0.0800244,  0.3194589 PO/PF -2,-2004
Lines:   324
Columns: 3
Number     Time/s     Potential/V    Current/A 
1         0.000e+00     -0.680008    1.4122e-07
2         1.200e-01     -0.680008    1.7666e-07
3         3.600e-01     -0.680008    1.4167e-07
4         6.000e-01     -0.680008    2.0938e-07
5         8.400e-01     -0.680008    1.8939e-07
6         1.080e+00     -0.680008    1.4842e-07
7         1.320e+00     -0.680008    1.5851e-07
8         1.560e+00     -0.680008    2.5140e-07
9         1.800e+00     -0.677333    1.5768e-07
10        2.040e+00     -0.665952    1.6763e-07
11        2.280e+00     -0.653932    1.0578e-07
12        2.520e+00     -0.641953    9.8335e-08
13        2.760e+00     -0.629933    1.5843e-07
14        3.000e+00     -0.617953    2.0220e-07
15        3.240e+00     -0.605934    1.5984e-07
16        3.480e+00     -0.593954    1.2459e-07
17        3.720e+00     -0.581934    1.7945e-07
18        3.960e+00     -0.569955    1.3456e-07
19        4.200e+00     -0.557935    2.0775e-07
20        4.440e+00     -0.545955    1.8825e-07
21        4.680e+00     -0.533936    1.2253e-07
22        4.920e+00     -0.521916    1.8158e-07
23        5.160e+00     -0.509896    1.9769e-07
24        5.400e+00     -0.497917    2.2886e-07
25        5.640e+00     -0.485897    1.6793e-07
26        5.880e+00     -0.473917    1.8327e-07
27        6.120e+00     -0.461898    1.6092e-07
28        6.360e+00     -0.449918    1.9875e-07
29        6.600e+00     -0.437898    2.4092e-07
30        6.840e+00     -0.425919    2.0924e-07
31        7.080e+00     -0.413899    2.5402e-07
32        7.320e+00     -0.401879    1.9596e-07
33        7.560e+00     -0.389900    2.2676e-07
34        7.800e+00     -0.377880    2.2587e-07
35        8.040e+00     -0.365860    2.0867e-07
36        8.280e+00     -0.353881    2.4706e-07
37        8.520e+00     -0.341861    2.7343e-07
38        8.760e+00     -0.329881    2.7123e-07
39        9.000e+00     -0.317862    2.4161e-07
40        9.240e+00     -0.305882    3.3268e-07
41        9.480e+00     -0.293862    2.8179e-07
42        9.720e+00     -0.281882    2.9885e-07
43        9.960e+00     -0.269863    3.4385e-07
44        1.020e+01     -0.257843    3.4408e-07
45        1.044e+01     -0.245864    3.6021e-07
46        1.068e+01     -0.233844    3.5078e-07
47        1.092e+01     -0.221824    3.3214e-07
48        1.116e+01     -0.209845    3.4497e-07
49        1.140e+01     -0.197825    3.2151e-07
50        1.164e+01     -0.185845    3.1631e-07
51        1.188e+01     -0.173826    2.8029e-07
52        1.212e+01     -0.161846    2.3095e-07
53        1.236e+01     -0.149826    2.4434e-07
54        1.260e+01     -0.137846    2.5861e-07
55        1.284e+01     -0.125827    2.0164e-07
56        1.308e+01     -0.113807    2.5285e-07
57        1.332e+01     -0.101827    2.9205e-07
58        1.356e+01     -0.089808    3.0740e-07
59        1.380e+01     -0.077788    3.2159e-07
